3,1
19,1
20,1
21,1
28,1
2,2
3,2
5,2
18,2
19,2
21,2
22,2
27,2
28,2
2,3
3,3
4,3
5,3
12,3
13,3
14,3
15,3
18,3
19,3
21,3
22,3
26,3
27,3
28,3
4,4
18,4
19,4
21,4
22,4
25,4
26,4
27,4
28,4
4,5
11,5
12,5
13,5
14,5
15,5
18,5
19,5
21,5
22,5
25,5
26,5
27,5
28,5
3,6
18,6
19,6
21,6
22,6
25,6
26,6
27,6
28,6
10,7
11,7
12,7
13,7
14,7
15,7
18,7
19,7
20,7
21,7
22,7
24,7
25,7
26,7
27,7
28,7
29,7
18,8
19,8
20,8
21,8
22,8
25,8
26,8
27,8
28,8
9,9
10,9
11,9
12,9
13,9
14,9
15,9
18,9
19,9
20,9
21,9
22,9
25,9
26,9
27,9
28,9
18,10
19,10
21,10
22,10
25,10
26,10
27,10
28,10
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
18,11
19,11
21,11
22,11
25,11
26,11
27,11
28,11
18,12
19,12
21,12
22,12
25,12
26,12
27,12
28,12
7,13
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
18,13
19,13
21,13
22,13
25,13
26,13
27,13
28,13
18,14
19,14
21,14
22,14
25,14
26,14
27,14
28,14
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
25,15
26,15
27,15
25,16
5,18
6,18
7,18
8,18
9,18
10,18
13,18
14,18
15,18
16,18
17,18
18,18
19,18
20,18
21,18
22,18
1,19
2,19
5,19
6,19
7,19
8,19
9,19
10,19
13,19
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
13,20
14,20
15,20
16,20
18,20
19,20
20,20
21,20
22,20
20,21
2,23
3,23
4,23
5,23
6,23
7,23
8,23
9,23
13,23
2,24
3,24
4,24
5,24
6,24
7,24
8,24
9,24
2,25
3,25
4,25
5,25
6,25
7,25
8,25
9,25
13,25
14,25
15,25
