10,1
12,1
9,2
10,2
11,2
12,2
13,2
14,2
9,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
9,4
11,4
12,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
9,5
11,5
12,5
21,5
22,5
7,6
8,6
9,6
11,6
12,6
14,6
15,6
16,6
17,6
21,6
22,6
23,6
24,6
7,7
8,7
9,7
11,7
12,7
21,7
22,7
23,7
24,7
7,9
8,9
9,9
11,9
12,9
13,9
14,9
15,9
17,9
18,9
19,9
22,9
23,9
24,9
5,10
7,10
9,10
17,10
18,10
19,10
5,11
7,11
9,11
3,12
5,12
7,12
9,12
11,12
12,12
13,12
14,12
15,12
17,12
18,12
19,12
21,12
22,12
23,12
3,13
5,13
7,13
8,13
9,13
11,13
12,13
13,13
14,13
15,13
17,13
18,13
19,13
21,13
22,13
23,13
2,15
4,15
5,15
6,15
7,15
8,15
9,15
11,15
13,15
14,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
2,16
4,16
5,16
6,16
7,16
8,16
9,16
11,16
23,16
1,17
2,17
4,17
5,17
6,17
7,17
8,17
9,17
11,17
12,17
13,17
14,17
23,17
1,18
2,18
4,18
5,18
6,18
7,18
8,18
9,18
14,18
23,18
1,19
4,19
5,19
6,19
7,19
8,19
9,19
11,19
12,19
13,19
14,19
19,19
20,19
21,19
22,19
23,19
24,19
